coin,btc,eth,xrp,bch,ada,ltc,xem,xlm,neo,iota
okex,0.2470746364,2.725001843507957,1750.564236927873,1.9797266430773768,0.0,14.782495895656336,6684.196418136565,13729.419671038007,24.415377594758386,1680.094086767306
gateIo,0.2470746364,2.7188405656121044,1677.3566625933468,1.987408593951094,9889.314617355109,14.768358421996414,0.0,0.0,24.462699652358364,1596.3987620339858
binance,0.2470746364,2.7186610666696005,1750.564236927873,1.9759647824696098,10932.50603539823,14.756891620378664,0.0,13738.580760676155,24.47640636392455,1642.1065544788719
huobipro,0.2470746364,2.732461529273849,1748.581998584572,1.984752040383528,0.0,14.789574787501497,6750.67312568306,0.0,24.354806048418897,0.0
zb,0.2470746364,2.7001217026392,1728.157210603623,0.0,0.0,14.777191172248804,0.0,0.0,0.0,0.0
