coin,BTC,ETH,ETC,BCH,XRP,IOTA,BCD,BCX,BTG,BTM,EOS,OMG,QTUM,ZEC
okex,0.37574552,0.73050900,150.49318272,0.99900000,1405.34443863,399.74402000,0.00000000,53874.08643012,42.50050292,2586.64358831,140.05999758,241.57183616,41.94836964,1.99999000
gateIo,0.23079500,0.50000000,50.00000000,0.00024000,15.91580200,208.37102200,99.84050500,0.00000000,0.00000000,0.00000000,49.90000000,0.00000000,0.00000000,0.00000000
