ico couple,date,higherEx,lowerEx,tradeValueMargin,tradeValueMarginPct,minTradbleQtty,tradeValueBuy,tradeValueSell
xrp,2018-01-16 19:44:52,gateIo,binance,0.005968822860714048,0.10280350877192972,509.30260936499997,0.05806049746761,0.064273989301863
xrp,2018-01-16 19:45:07,gateIo,binance,8.236684799999997E-4,0.10027910238429168,72.0,0.00821376,0.009072
xrp,2018-01-16 19:45:10,gateIo,binance,8.236684799999997E-4,0.10027910238429168,72.0,0.00821376,0.009072
xrp,2018-01-16 19:47:10,gateIo,okex,1.537297299999999E-4,0.08805689655172408,15.05,0.0017458,0.001906835
xrp,2018-01-16 19:47:31,gateIo,okex,0.002021564662176546,0.08522116548504224,205.09590066599998,0.02372139187102956,0.025842083483915996
xrp,2018-01-16 19:52:10,gateIo,binance,1.455073472159999E-4,0.08861726287031496,14.0184,0.001641975192,0.0017943552
xrp,2018-01-16 19:53:37,gateIo,binance,0.0019409371200000056,0.08352880481513353,199.79999999999998,0.023236739999999995,0.0252747
xrp,2018-01-16 19:54:24,gateIo,binance,5.2016160804E-4,0.0915806729939603,49.0062,0.00567981858,0.0062237874
xrp,2018-01-16 19:54:30,gateIo,binance,2.591373840000001E-4,0.09082634937058118,24.599999999999998,0.0028531079999999996,0.0031241999999999997
xrp,2018-01-16 19:55:00,gateIo,binance,7.353402120000006E-4,0.11347748213209344,55.8,0.006480054,0.00724284
xrp,2018-01-16 19:55:01,gateIo,binance,7.275125880000012E-4,0.11213434247871353,55.8,0.006487865999999999,0.00724284
xrp,2018-01-16 19:55:01,gateIo,binance,7.275125880000012E-4,0.11213434247871353,55.8,0.006487865999999999,0.00724284
xrp,2018-01-16 19:55:30,gateIo,binance,6.169461519799325E-4,0.08735109583154274,60.703329822,0.0070628324247897,0.007709322887394
xrp,2018-01-16 19:55:31,gateIo,binance,6.169461519799325E-4,0.08735109583154274,60.703329822,0.0070628324247897,0.007709322887394
xrp,2018-01-16 19:56:00,gateIo,binance,6.548068799999989E-4,0.08950878401653446,63.0,0.0073155600000000005,0.008001
xrp,2018-01-16 19:56:00,gateIo,binance,6.548068799999989E-4,0.08950878401653446,63.0,0.0073155600000000005,0.008001
xrp,2018-01-16 19:58:30,gateIo,binance,4.945098027120002E-4,0.08623107161169034,49.0062,0.005734705524,0.00625319112
xrp,2018-01-16 19:58:30,gateIo,binance,4.954918869600008E-4,0.08641709401709416,49.0062,0.0057337253999999995,0.00625319112
eos,2018-01-16 19:58:32,gateIo,binance,4.685760000000048E-6,0.004244347826087,1.2,0.001104,0.00111312
eos,2018-01-16 19:58:33,gateIo,binance,4.685760000000048E-6,0.004244347826087,1.2,0.001104,0.00111312
xrp,2018-01-16 19:59:00,gateIo,okex,0.002214432000000004,0.10425762711864427,180.0,0.02124,0.023544000000000002
xrp,2018-01-16 19:59:30,gateIo,binance,3.2257224000000004E-4,0.1061358234295416,25.8,0.0030392400000000003,0.0033746400000000004
xrp,2018-01-16 20:00:00,gateIo,okex,5.708805696000006E-4,0.10425762711864417,46.404,0.005475672,0.0060696432000000005
xrp,2018-01-16 20:01:00,gateIo,okex,5.817145224000015E-4,0.10641882153454883,46.343999999999994,0.005466274799999999,0.006071064
xrp,2018-01-16 20:02:00,gateIo,okex,5.213839032000003E-4,0.09450062998740033,46.343999999999994,0.005517253199999999,0.006061795199999999
xrp,2018-01-16 20:03:00,gateIo,okex,0.001441083297333355,0.09174444909928778,131.609386315,0.01570758025669525,0.017214507730002
xrp,2018-01-16 20:04:00,gateIo,binance,5.661816208837436E-4,0.10175557612995537,46.832199372,0.00556413360738732,0.0061537509974808
xrp,2018-01-16 20:04:30,gateIo,binance,5.52573120390228E-4,0.09906801007556675,46.832199372,0.0055777149452052,0.0061537509974808
