ico couple,date,higherEx,lowerEx,tradeValueMargin,tradeValueMarginPct,minTradbleQtty,tradeValueBuy,tradeValueSell
xrp_btc-XRPBTC,2018-01-15 19:32:55,gateIo,binance,1.374739999999999E-4,0.10494198473282433,10.0,0.0013100000000000002,0.001453
ada_btc-ADABTC,2018-01-15 19:33:01,gateIo,binance,2.973545809431601E-4,0.12044298605414279,40.50600476,0.002468840990122,0.002776686626298
bcd_btc-BCDBTC,2018-01-15 19:33:02,binance,gateIo,0.039567904528,4.029895989974937,6.152,0.009818592,0.049505144
iota_btc-IOTABTC,2018-01-15 19:33:09,gateIo,binance,5.621040000000032E-5,0.02683022758515366,8.0,0.00209504,0.00215976
xrp_btc-XRPBTC,2018-01-15 19:33:15,gateIo,binance,7.371282240000004E-4,0.1116284536711953,50.4,0.006603408,0.00736848
ada_btc-ADABTC,2018-01-15 19:33:31,gateIo,binance,2.981630807981699E-4,0.12077046759639061,40.50600476,0.002468840990122,0.0027774967463932002
bcd_btc-BCDBTC,2018-01-15 19:33:32,binance,gateIo,0.13358100173200002,4.0299222570532915,20.782,0.03314729,0.167128844
iota_btc-IOTABTC,2018-01-15 19:33:39,gateIo,binance,1.1944710000000029E-4,0.026830227585153573,17.0,0.00445196,0.00458949
xrp_btc-XRPBTC,2018-01-15 19:33:45,gateIo,binance,7.097742959999998E-4,0.10714298808432628,50.6,0.0066245520000000006,0.0073623000000000004
ada_btc-ADABTC,2018-01-15 19:34:01,gateIo,binance,2.9897158065317976E-4,0.12109794913863846,40.50600476,0.002468840990122,0.0027783068664884005
bcd_btc-BCDBTC,2018-01-15 19:34:03,binance,gateIo,0.03787861741,3.9786144200626956,5.969,0.009520555000000002,0.047513240000000005
iota_btc-IOTABTC,2018-01-15 19:34:10,gateIo,binance,0.0016709333372942822,0.026790942762228594,238.15089154,0.0623693369854106,0.06429359618905381
xrp_btc-XRPBTC,2018-01-15 19:34:20,gateIo,binance,5.108804463738457E-4,0.1085001529519731,36.00924522,0.0047085689049672,0.00523934517951
iota_btc-IOTABTC,2018-01-15 19:34:40,gateIo,binance,0.001675705881160741,0.026869515408408883,238.15089154,0.0623645739675798,0.06429359618905381
xrp_btc-XRPBTC,2018-01-15 19:34:46,gateIo,binance,1.395782E-4,0.10671932104900986,10.0,0.0013079,0.001453
bcd_btc-BCDBTC,2018-01-15 19:35:02,binance,gateIo,0.023138342712000003,3.91966959798995,3.708,0.005903136000000001,0.029111508
iota_btc-IOTABTC,2018-01-15 19:35:10,gateIo,binance,0.0013881289800000023,0.026908806232337934,197.0,0.05158642,0.05318409
xrp_btc-XRPBTC,2018-01-15 19:35:16,gateIo,binance,1.4058019999999992E-4,0.1075676792409518,10.0,0.0013069000000000002,0.001453
bcd_btc-BCDBTC,2018-01-15 19:35:33,binance,gateIo,0.050645811408000015,3.932834170854272,8.089,0.012877688000000002,0.06367660800000001
iota_btc-IOTABTC,2018-01-15 19:35:41,gateIo,binance,1.3407084000000057E-4,0.02694810005728482,19.0,0.00497515,0.005129430000000001
xrp_btc-XRPBTC,2018-01-15 19:35:47,gateIo,binance,1.4158220000000006E-4,0.10841733670265721,10.0,0.0013059,0.001453
iota_btc-IOTABTC,2018-01-15 19:36:12,gateIo,binance,0.0016804784250272068,0.026948100057284905,238.15089154,0.062359810949748996,0.06429359618905381
xrp_btc-XRPBTC,2018-01-15 19:36:18,gateIo,binance,1.4048000000000006E-4,0.1074827850038256,10.0,0.001307,0.001453
iota_btc-IOTABTC,2018-01-15 19:36:41,gateIo,binance,0.0017210450478921347,0.027616554570468018,238.15089154,0.06231932529818719,0.06429359618905381
xrp_btc-XRPBTC,2018-01-15 19:36:50,gateIo,binance,5.188081789480568E-4,0.10994367921640652,36.10999447,0.004718854077339599,0.005257615194831999
iota_btc-IOTABTC,2018-01-15 19:37:10,gateIo,binance,0.0017830881181561274,0.02864057837961914,238.15089154,0.0622574060663868,0.06429359618905381
xrp_btc-XRPBTC,2018-01-15 19:37:16,gateIo,binance,4.918997599999994E-4,0.1107952213202633,34.0,0.00443972,0.0049504
bcd_btc-BCDBTC,2018-01-15 19:37:32,binance,gateIo,0.006538518,3.923856332703213,1.05,0.0016663500000000003,0.00822465
iota_btc-IOTABTC,2018-01-15 19:37:40,gateIo,binance,0.0018069508374884355,0.029034976274299847,238.15089154,0.0622335909772328,0.06429359618905381
xrp_btc-XRPBTC,2018-01-15 19:37:45,gateIo,binance,5.297653602607424E-4,0.11446129057009108,35.51244091,0.004628336423800301,0.005177713884678
bcd_btc-BCDBTC,2018-01-15 19:38:02,binance,gateIo,0.004409626752,3.944774522292994,0.712,0.00111784,0.005540784
iota_btc-IOTABTC,2018-01-15 19:38:09,gateIo,binance,0.0016220878200000008,0.029429676135058584,211.0,0.05511742,0.05696367
xrp_btc-XRPBTC,2018-01-15 19:38:15,gateIo,binance,5.365374640329368E-4,0.11412873492587744,36.10999447,0.0047011601800492995,0.005257615194831999
bcd_btc-BCDBTC,2018-01-15 19:38:33,binance,gateIo,0.028495691134000002,3.99755328653478,4.549,0.007128283000000001,0.03570965
iota_btc-IOTABTC,2018-01-15 19:38:40,gateIo,binance,3.401053200000013E-4,0.034428912140329414,38.0,0.00987848,0.010258860000000002
xrp_btc-XRPBTC,2018-01-15 19:38:46,gateIo,binance,1.4579060000000004E-4,0.11200015364523319,10.0,0.0013017,0.001453
bcd_btc-BCDBTC,2018-01-15 19:39:03,binance,gateIo,0.14628223515200006,4.032610472541509,23.164,0.036274824,0.18299560000000004
iota_btc-IOTABTC,2018-01-15 19:39:10,gateIo,binance,0.001897629170951209,0.030536445159807045,238.15089154,0.0621430936384476,0.06429359618905381
xrp_btc-XRPBTC,2018-01-15 19:39:16,gateIo,binance,5.289552073348621E-4,0.11950345887778635,34.02210063,0.004426275291962999,0.004974031112105999
bcd_btc-BCDBTC,2018-01-15 19:39:33,binance,gateIo,0.05152474720399999,4.044117571884984,8.141,0.012740665,0.06441973299999999
iota_btc-IOTABTC,2018-01-15 19:39:39,gateIo,binance,0.0017684467200000025,0.03546653831343863,192.0,0.0498624,0.051834240000000004
xrp_btc-XRPBTC,2018-01-15 19:39:44,gateIo,binance,4.0795805652000004E-4,0.1215558289756998,25.8085,0.00335613734,0.0037783644
bcd_btc-BCDBTC,2018-01-15 19:40:02,binance,gateIo,0.008826860971999998,4.046030670926518,1.394,0.0021816099999999996,0.011034903999999998
iota_btc-IOTABTC,2018-01-15 19:40:08,gateIo,binance,0.001206667560000006,0.031051110003450948,149.0,0.038860689999999996,0.04022553
xrp_btc-XRPBTC,2018-01-15 19:40:14,gateIo,binance,4.0201022960999964E-4,0.1195721194442311,25.8085,0.0033620732950000003,0.0037783644
bcd_btc-BCDBTC,2018-01-15 19:40:32,binance,gateIo,0.029756609693999996,4.078435732647814,4.689,0.007296084,0.037141569
iota_btc-IOTABTC,2018-01-15 19:40:39,gateIo,binance,0.0020288741272789035,0.03271738546027133,238.15089154,0.062012110648100596,0.06429359618905381
xrp_btc-XRPBTC,2018-01-15 19:40:44,gateIo,binance,1.41494E-4,0.1085909439754413,10.0,0.001303,0.00145
bcd_btc-BCDBTC,2018-01-15 19:41:02,binance,gateIo,0.17241321231999998,4.045392971246006,27.233,0.042619645,0.215549195
iota_btc-IOTABTC,2018-01-15 19:41:12,gateIo,binance,0.002129097548474595,0.03438904488979514,238.15089154,0.0619120872736538,0.06429359618905381
xrp_btc-XRPBTC,2018-01-15 19:41:18,gateIo,binance,1.7776545003740047E-4,0.11285248924400769,12.1020425,0.0015752018517999997,0.0017596369795000002
iota_btc-IOTABTC,2018-01-15 19:41:39,gateIo,binance,0.0021338700923410536,0.03446878245816515,238.15089154,0.061907324255823,0.06429359618905381
xrp_btc-XRPBTC,2018-01-15 19:41:44,gateIo,binance,0.0012744116400000014,0.11387643126104677,86.0,0.01119118,0.012513000000000002
bcd_btc-BCDBTC,2018-01-15 19:42:02,binance,gateIo,0.024137175687999998,4.0683501597444085,3.791,0.0059329149999999995,0.030142240999999997
iota_btc-IOTABTC,2018-01-15 19:42:09,gateIo,binance,0.0020527368466112116,0.033114910292366406,238.15089154,0.061988295558946596,0.06429359618905381
xrp_btc-XRPBTC,2018-01-15 19:42:14,gateIo,binance,1.4659220000000006E-4,0.11268521792605124,10.0,0.0013009,0.001453
bcd_btc-BCDBTC,2018-01-15 19:42:32,binance,gateIo,0.028423542504,4.134126598465473,4.396,0.006875344,0.035383404
iota_btc-IOTABTC,2018-01-15 19:42:39,gateIo,binance,0.002124325004608136,0.03430931958921518,238.15089154,0.061916850291484596,0.06429359618905381
xrp_btc-XRPBTC,2018-01-15 19:42:45,gateIo,binance,1.822376388228501E-4,0.11575386271043132,12.1020425,0.0015743547088249998,0.00176326759225
bcd_btc-BCDBTC,2018-01-15 19:43:02,binance,gateIo,0.05291441835582421,4.205954022988507,8.03373955,0.012580836135299998,0.06565171960260001
iota_btc-IOTABTC,2018-01-15 19:43:09,gateIo,binance,0.0021458014520072148,0.03466818006925764,238.15089154,0.061895416711245994,0.06429359618905381
xrp_btc-XRPBTC,2018-01-15 19:43:15,gateIo,binance,1.6818761726728634E-4,0.11081144263303595,11.67165517,0.0015177820383067999,0.0016923899996499998
bcd_btc-BCDBTC,2018-01-15 19:43:32,binance,gateIo,0.011556014112000001,4.255662835249042,1.734,0.002715444,0.0143055
iota_btc-IOTABTC,2018-01-15 19:43:40,gateIo,binance,0.0012534627000000058,0.04076670020899469,119.0,0.03074722,0.032126430000000004
xrp_btc-XRPBTC,2018-01-15 19:43:46,gateIo,binance,1.4709320000000012E-4,0.11311381113503546,10.0,0.0013004,0.001453
iota_btc-IOTABTC,2018-01-15 19:44:16,gateIo,binance,4.4925493559999695E-5,0.027587879255175415,6.278,0.00162845042,0.0016799927999999998
xrp_btc-XRPBTC,2018-01-15 19:44:22,gateIo,binance,1.505000000000001E-4,0.11603700848111034,10.0,0.001297,0.001453
bcd_btc-BCDBTC,2018-01-15 19:44:33,binance,gateIo,0.006049305344,4.154651370299553,0.928,0.0014560320000000001,0.007523296
iota_btc-IOTABTC,2018-01-15 19:44:41,gateIo,binance,4.7378810399999913E-5,0.02913822393822389,6.278,0.0016260019999999999,0.0016799927999999998
xrp_btc-XRPBTC,2018-01-15 19:44:53,gateIo,binance,1.4899699999999992E-4,0.11474547554870997,10.0,0.0012985000000000002,0.001453
bcd_btc-BCDBTC,2018-01-15 19:45:04,binance,gateIo,0.008988605850000001,4.086528662420383,1.401,0.00219957,0.011215005
iota_btc-IOTABTC,2018-01-15 19:45:27,gateIo,binance,4.932888275999991E-5,0.030373883799141778,6.278,0.0016240558199999999,0.0016799927999999998
xrp_btc-XRPBTC,2018-01-15 19:45:44,gateIo,binance,1.4889680000000006E-4,0.11465947943939632,10.0,0.0012986,0.001453
ada_btc-ADABTC,2018-01-15 19:45:47,gateIo,binance,0.0012623061557672283,0.1256620701113142,166.89224123,0.0100452439996337,0.0113503413260523
bcd_btc-BCDBTC,2018-01-15 19:45:48,binance,gateIo,0.00897242878190048,4.056016560509554,1.40899888,0.0022121282416,0.01121140408816
xrp_btc-XRPBTC,2018-01-15 19:46:03,gateIo,binance,1.826111078544001E-4,0.11619651932850769,12.1020425,0.00157157123905,0.00176084718375
ada_btc-ADABTC,2018-01-15 19:46:06,gateIo,binance,2.989359792100184E-4,0.12781757767070945,38.85646276,0.0023387704935243997,0.0026476793724663997
iota_btc-IOTABTC,2018-01-15 19:46:17,gateIo,binance,5.429842199999995E-5,0.03353625436215585,6.278,0.0016190961999999998,0.0016799927999999998
xrp_btc-XRPBTC,2018-01-15 19:46:25,gateIo,binance,1.6491301769279104E-4,0.10842050337630438,11.67165517,0.0015210501017544,0.0016923899996499998
ada_btc-ADABTC,2018-01-15 19:46:31,gateIo,binance,8.104990399999997E-4,0.1295422207446808,104.0,0.00625664,0.00709384
bcd_btc-BCDBTC,2018-01-15 19:46:33,binance,gateIo,0.008923218087017598,4.036341618865518,1.40899888,0.0022107192427200002,0.011160680128479998
iota_btc-IOTABTC,2018-01-15 19:46:50,gateIo,binance,5.373227195999991E-5,0.033175006783208595,6.278,0.0016196612199999999,0.0016799927999999998
xrp_btc-XRPBTC,2018-01-15 19:47:08,gateIo,binance,1.4739379999999987E-4,0.11337112529805388,10.0,0.0013001000000000002,0.001453
ada_btc-ADABTC,2018-01-15 19:47:27,gateIo,binance,0.0012689885211060775,0.1263902925531915,166.89224123,0.0100402372323968,0.0113520102484646
iota_btc-IOTABTC,2018-01-15 19:49:01,gateIo,binance,3.108865600000003E-5,0.01911969111969114,6.278,0.0016260019999999999,0.00166367
xrp_btc-XRPBTC,2018-01-15 19:49:16,gateIo,binance,1.4700499999999986E-4,0.11329865125240836,10.0,0.0012975,0.00145
ada_btc-ADABTC,2018-01-15 19:49:19,gateIo,binance,5.286528000000003E-4,0.12116171617161722,72.0,0.0043632,0.0049104000000000005
iota_btc-IOTABTC,2018-01-15 19:49:34,gateIo,binance,3.108865600000003E-5,0.01911969111969114,6.278,0.0016260019999999999,0.00166367
xrp_btc-XRPBTC,2018-01-15 19:50:10,gateIo,binance,1.5019940000000014E-4,0.11577846296153561,10.0,0.0012973,0.001453
ada_btc-ADABTC,2018-01-15 19:51:20,gateIo,binance,0.0014142361072145874,0.130602473206925,178.54172018,0.010828555328917,0.0122890265999894
bcd_btc-BCDBTC,2018-01-15 19:51:26,binance,gateIo,0.009074939086416,4.038056426332288,1.40899888,0.0022473532136,0.0113494859784
iota_btc-IOTABTC,2018-01-15 19:51:33,gateIo,binance,2.8572433600000004E-5,0.017545104086353125,6.278,0.0016285132,0.00166367
xrp_btc-XRPBTC,2018-01-15 19:51:40,gateIo,binance,2.4088888923999983E-4,0.10458510310864874,17.723,0.00230328108,0.0025538843
ada_btc-ADABTC,2018-01-15 19:51:42,gateIo,binance,0.0011870477685069732,0.1172738664468262,166.89224123,0.010122014430599499,0.0113520102484646
bcd_btc-BCDBTC,2018-01-15 19:51:43,binance,gateIo,0.00906930872689152,4.0330225563909785,1.40899888,0.00224876221248,0.01134525898176
